,_index,_type,_id,_score,sort,redVarietal,isVQA,subCategory,consumerRating,featured,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured,promotionEndDate,isBCSpirit,sku,isLimitedTimeOffer,_featured,image,availableUnits,last_updated,subRegion,unitSize,upc,_blacklist,isDealcoholizedWine,volume,certificates,name,style,countryName,isBCCraft,region,statusCode,status,color,grapeType,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions,promotions,nameSanitized,isBCVQA,_promotionEndDate,votes,category,ribbons,isImageCacheFile,category_id,subCategory_id,class_id,totalVolume,totalPrice,totalAlcoholContent,alcoholCost,storePercent
0,bcls,product,399865,0.35229748,1573  NATIONAL CELLAR,,,Asian Spirits,3.0,[],,256.99,,,,,"The National Cellar 1573 is originated from the 1573 treasure-class national cellars, a continuously used and well-protected historical and cultural site at the national level, and made pure manually through the Luzhou Laojiao traditional baijiu-making techniques, which have been included in the first group of the ""Representatives of National Intangible Cultural Heritages."" It has an extremely complex floral aroma and rich taste. Enjoy it neat with fine Chinese dining.
",,[],,,399865,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/399865.jpeg,242,2024-11-27 13:10:01,,1,"['06901798104595', '06901798138910']",False,,0.5,[],1573  NATIONAL CELLAR,,China,False,,2,2,,,False,21.0,1573  NATIONAL CELLAR,0.52,,False,[],SR,,,CN,,China Spirits,Other Spirits,False,False,0,256.99,,False,,,1573  national cellar,,,556,Spirits,[],True,1004,1016,1064,121.0,62191.58,0.26,988.4230769230769,0.10606060606060606
1,bcls,product,753905,0.3604726,1792 SMALL BATCH KENTUCKY STRAIGHT BOURBON,,,Whisky,4.2,[],,59.99,,,,,"94 Points, Ultimate Spirits Challenge 2021: ""This golden-hued Bourbon calls to mind butterscotch hard candies, blondie bars, toasted coconut, and sweet cream on the nose. Bosc pears and golden apples mingle with maple and cinnamon on the palate with a hint of red orchard fruits on the finish.""",,[],,,753905,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/753905.jpeg,343,2024-11-27 13:10:01,,1,"['00080660001203', '00088100000021']",False,,0.75,[],1792 SMALL BATCH KENTUCKY STRAIGHT BOURBON,,USA,False,,2,2,,,False,45.0,1792 SMALL BATCH KENTUCKY STRAIGHT BOURBON,0.469,,False,[],SH,,,US,,Bourbon Whiskey,Whisky / Whiskey,False,False,0,59.99,,False,,,1792 small batch kentucky straight bourbon,,,189,Spirits,[],True,1004,1024,1284,257.25,20576.57,0.35175,170.54726368159203,0.22727272727272727
2,bcls,product,869479,0.35229748,1800 - BLANCO TEQUILA,,,Tequila,3.2,[],,43.49,,,,,"The most popular super-premium tequila, 1800 Blanco follows the original formula created in the year 1800. Made from 100% Weber blue agave and handpicked at its peak maturity, 1800 Blanco is a special selection of white tequilas blended for added complexity and character. The smooth, balanced taste with hints of sweet fruit and pepper is perfect sipped neat, on the rocks, as a shot or in a cocktail.
",,[],,,869479,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/869479.jpeg,1684,2024-11-27 13:10:01,,1,['00811538010139'],False,,0.75,[],1800 - BLANCO TEQUILA,,Mexico,False,,2,2,,,False,134.0, BLANCO TEQUILA,0.4,,False,[],SR,,1800 ,MX,,Blanco/Silver Tequila,Tequila,False,False,0,43.49,,False,,,1800 - blanco tequila,,,246,Spirits,[],True,1004,1022,1270,1263.0,73237.16,0.30000000000000004,144.96666666666664,0.6767676767676768
3,bcls,product,243782,0.35229748,1800 - COCONUT,,,Tequila,3.4,[],True,43.49,,,2024-11-24T00:00:00.000-08:00,,"Crafted from 100% Weber blue agave harvested at its peak, 1800 Coconut is a special selection of white tequilas, double-distilled and infused with natural, ripe coconut flavour. With its slightly sweet and medium-bodied tropical ​taste, this versatile spirit is delicious on the rocks and tastes great mixed with pineapple juice.
",2024-11-24T00:00:00.000-08:00,['On Sale'],2024-12-28T00:00:00.000-08:00,,243782,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/243782.jpeg,2330,2024-11-27 13:10:01,,1,['00811538010375'],False,,0.75,[],1800 - COCONUT,,Mexico,False,,2,2,,,False,170.0, COCONUT,0.35,,False,['On Sale'],SR,,1800 ,MX,,Flavoured Tequila,Tequila,False,False,0,41.49,,False,,,1800 - coconut,,2024-12-28T00:00:00.000-08:00,518,Spirits,[],True,1004,1022,1271,1747.5,101331.70000000001,0.26249999999999996,165.6761904761905,0.8585858585858586
4,bcls,product,415602,0.35229748,1800 - CRISTALINO,,,Tequila,4.3,[],True,70.99,,,2024-11-24T00:00:00.000-08:00,,"Double Gold, SIP Awards 2021. 1800 Cristalino is a beautiful contradiction. It is aged in French and American oak barrels, married together, then rested in port wine casks. Finally, it is meticulously filtered to crystal-clear clarity while retaining the depth and complexity of aÃ±ejo along with the silky smoothness of a blanco. Aromas of subtle oak and hints of vanilla. Luxuriously smooth flavour with nutty touches and a hint of citrus. The finish is long, silky, crisp and clean.
",2024-11-24T00:00:00.000-08:00,['On Sale'],2024-12-28T00:00:00.000-08:00,,415602,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/415602.jpeg,483,2024-11-27 13:10:01,,1,['00811538016469'],False,,0.75,[],1800 - CRISTALINO,,Mexico,False,,2,2,,,False,64.0, CRISTALINO,0.4,,False,['On Sale'],SR,,1800 ,MX,,Blanco/Silver Tequila,Tequila,False,False,0,65.99,,False,,,1800 - cristalino,,2024-12-28T00:00:00.000-08:00,65,Spirits,[],True,1004,1022,1270,362.25,34288.17,0.30000000000000004,236.63333333333327,0.32323232323232326
5,bcls,product,267840,0.3604726,1800 - CUCUMBER JALAPENO TEQUILA,,,Tequila,3.9,[],,43.49,,,,,"A refreshingly spicy new expression from the #1 selling super-premium tequila and #1 selling flavored tequila brand. 1800 Cucumber & Jalapeño Tequila is 100% blue agave blanco tequila infused with natural flavours of cucumber and jalapeños. A refreshing spicy sensory experience from its herbal, fruity, sweet and spicy aroma to its lingering finish. This unique flavour profile blends fresh cucumber essences with sweet cooked agave and spicy notes of jalapeños. This versatile spirit is best enjoyed in spicy margaritas and in highballs with a simple mix of soda water for a light, refreshing cocktail.
",,"['BCL Select', 'New Product']",,,267840,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/267840.jpeg,1552,2024-11-27 13:10:01,,1,['00818844024829'],False,,0.75,[],1800 - CUCUMBER JALAPENO TEQUILA,,Mexico,False,,2,2,,,False,139.0, CUCUMBER JALAPENO TEQUILA,0.35,,True,"['BCL Select', 'New Product']",C,,1800 ,MX,,Flavoured Tequila,Tequila,False,False,0,43.49,,True,,,1800 - cucumber jalapeno tequila,,,11,Spirits,"[{'id': 'new', 'label': 'NEW', 'labelLengthWithoutTags': 3}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,1004,1022,1271,1164.0,67496.48,0.26249999999999996,165.6761904761905,0.702020202020202
6,bcls,product,856344,0.3604726,1800 - REPOSADO RESERVA,,,Tequila,3.3,[],,43.99,,,,,"Crafted using matured 100% Weber blue agave grown in volcanic soil and handpicked at peak maturity, a special selection of white tequilas are rested in new American and French oak barrels. The result is a rich liquid with notes of buttery caramel, mild spices and a touch of smokiness. Perfect mixed in a cocktail, sipped neat or on the rocks.
",,[],,,856344,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/856344.jpeg,2187,2024-11-27 13:10:01,,1,"['00721059227506', '00811538010238']",False,,0.75,[],1800 - REPOSADO RESERVA,,Mexico,False,,2,2,,,False,172.0, REPOSADO RESERVA,0.4,,False,[],SR,,1800 ,MX,,Gold Tequila,Tequila,False,False,0,43.99,,False,,,1800 - reposado reserva,,,387,Spirits,[],True,1004,1022,1272,1640.25,96206.13,0.30000000000000004,146.63333333333333,0.8686868686868687
7,bcls,product,77996,0.3604726,400 CONEJOS MEZCAL,,,Tequila,4.1,[],,52.99,,,,,"According to native Mesoamerican traditions, priests were the only ones who could establish a channel of communication with the gods. To achieve it, they practiced ritual drinking of beverages made from agave. The gods of the drinks were called collectively centzon-totochin (400 rabbits) in Nahuatl. The number 400 was synonymous with ""innumerable"" and ""uncountable"". It is believed that the spirit of the 400 rabbits carries on to this day in each bottle of this fine mezcal. Smooth, lightly smoky and easy to drink, 400 Conejos is perfect for those beginning their mezcal-drinking journey.",,[],,,77996,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/77996.jpeg,1117,2024-11-27 13:10:01,,1,['00811538013628'],False,,0.75,[],400 CONEJOS MEZCAL,,Mexico,False,,2,2,,,False,87.0,400 CONEJOS MEZCAL,0.4,,False,[],SR,,,MX,,Mezcal,Tequila,False,False,0,52.99,,False,,,400 conejos mezcal,,,59,Spirits,[],True,1004,1022,1273,837.75,59189.83,0.30000000000000004,176.63333333333333,0.4393939393939394
8,bcls,product,457604,0.3604726,818 TEQUILA - BLANCO,,,Tequila,3.1,[],True,75.99,,,2024-11-24T00:00:00.000-08:00,,"American model and media personality Kendall Jenner is behind 818 Tequila. Taste: Sweet agave and vanilla, with undertones of tropical and citrus fruit. Aroma: Lemongrass, mild floral elements, chamomile and light minerality. Body & Colour: Brilliant platinum, light body. Finish: Ultra smooth with a bright and crispy finish, notes of almond, key lime pie, and toasted coconut. What Makes It Special: Rested in oak barrels for a fresh vanilla roundness.
",2024-11-24T00:00:00.000-08:00,['On Sale'],2024-12-28T00:00:00.000-08:00,,457604,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/457604.jpeg,806,2024-11-27 13:10:01,,1,"['00195893687015', '00860006713409']",False,,0.75,[],818 TEQUILA - BLANCO,,Mexico,False,,2,2,,,False,95.0, BLANCO,0.4,,False,['On Sale'],SR,,818 TEQUILA ,MX,,Blanco/Silver Tequila,Tequila,False,False,0,71.99,,False,,,818 tequila - blanco,,2024-12-28T00:00:00.000-08:00,195,Spirits,[],True,1004,1022,1270,604.5,61247.939999999995,0.30000000000000004,253.29999999999995,0.4797979797979798
9,bcls,product,457595,0.3604726,818 TEQUILA - REPOSADO,,,Tequila,3.1,[],True,85.99,,,2024-11-24T00:00:00.000-08:00,,"American model and media personality Kendall Jenner is behind 818 Tequila. Taste: Ripe roasted agave flavour with notes of caramel and vanilla. Aroma: Vanilla, meringue, honey, and fruit accents. Body & Colour: Straw colour with golden hues and medium body. Finish: Smooth caramel finish with notes of sweet cooked agave and pecan pie. What Makes It Special: Aged in French and American oak barrels for a minimum of two months.
",2024-11-24T00:00:00.000-08:00,['On Sale'],2024-12-28T00:00:00.000-08:00,,457595,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/457595.jpeg,774,2024-11-27 13:10:01,,1,"['00195893031092', '00860006713423']",False,,0.75,[],818 TEQUILA - REPOSADO,,Mexico,False,,2,2,,,False,97.0, REPOSADO,0.4,,False,['On Sale'],SR,,818 TEQUILA ,MX,,Gold Tequila,Tequila,False,False,0,80.99,,False,,,818 tequila - reposado,,2024-12-28T00:00:00.000-08:00,181,Spirits,[],True,1004,1022,1272,580.5,66556.26,0.30000000000000004,286.63333333333327,0.4898989898989899
