,_index,_type,_id,_score,sort,redVarietal,isVQA,subCategory,consumerRating,featured,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured,promotionEndDate,isBCSpirit,sku,isLimitedTimeOffer,_featured,image,availableUnits,last_updated,subRegion,unitSize,upc,_blacklist,isDealcoholizedWine,volume,certificates,name,style,countryName,isBCCraft,region,statusCode,status,color,grapeType,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions,promotions,nameSanitized,isBCVQA,_promotionEndDate,votes,category,ribbons,isImageCacheFile,category_id,subCategory_id,class_id,totalVolume,totalPrice,totalAlcoholContent,alcoholCost,storePercent
0,bcls,product,327885,0.59922385,1 MILL ROAD - CHARDONNAY,,True,Canada - BC,4.3,[],,47.99,,,,Chardonnay,"Vibrant, pale green in appearance, the nose of this Chardonnay allures with salted lemon that intertwines with hints of fresh, wet stone and raw cashew nuts. The palate shows ethereal sweetness and nuanced complexity, with flavours of brioche, white pepper, underripe green apple skin and a nutty undertone of crushed almond. The acid is soft, yet savoury, with distinct notes of white grapefruit pith that drive you to a finish that lingers long.
",,['BC VQA'],,,327885,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/327885.jpeg,84,2024-07-27 15:10:01,,1,['00628942298684'],False,,0.75,"['BC VQA', 'All VQA']",1 MILL ROAD - CHARDONNAY,,Canada,False,,2,2,WHITE,CHARDONNAY,False,6.0, CHARDONNAY,0.126,,False,['BC VQA'],SM,,1 MILL ROAD ,CA,,Canada - BC White Wine,White Wine,False,False,0,47.99,00,False,,,1 mill road - chardonnay,True,,23,Wine,[],True,1005,1028,1079,63.0,4031.1600000000003,0.0945,507.83068783068785,0.030303030303030304
1,bcls,product,341167,0.60605395,3 RIBERAS BLANCO - CHIVITE LAS FINCAS,,,Spain Wine,4.0,[],,39.99,,,,Other Blend,False,,"['BCL Select', 'New Product']",,,341167,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/341167.jpeg,166,2024-07-27 15:10:01,,1,['08410062717310'],False,,0.75,[],3 RIBERAS BLANCO - CHIVITE LAS FINCAS,,Spain,False,Other Spain North,2,2,WHITE,OTHER BLEND,False,14.0, CHIVITE LAS FINCAS,0.135,,True,"['BCL Select', 'New Product']",C,,3 RIBERAS BLANCO ,ES,,Spain White Wine,White Wine,False,False,0,39.99,00,True,,,3 riberas blanco - chivite las fincas,,,1,Wine,"[{'id': 'new', 'label': 'NEW', 'labelLengthWithoutTags': 3}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,1005,1051,1269,124.5,6638.34,0.10125,394.96296296296293,0.0707070707070707
2,bcls,product,34465,0.60605395,40 KNOTS - ISLAND WHITE SEAS 2021,,,Canada - BC,3.9,[],,25.99,,,,Other Blend,"Cherry blossom, honey, and peach dance out of the glass and onto the palate with a complex finish of guava, elderflower, fig, and spice.
",,[],,,34465,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/34465.jpeg,305,2024-07-27 15:10:01,,1,['00626990271406'],False,,0.75,[],40 KNOTS - ISLAND WHITE SEAS 2021,,Canada,False,,2,2,WHITE,OTHER BLEND,False,36.0, ISLAND WHITE SEAS 2021,0.113,,False,[],ST,,40 KNOTS ,CA,,Canada - BC White Wine,White Wine,False,False,0,25.99,01,False,,,40 knots - island white seas 2021,,,16,Wine,[],True,1005,1028,1079,228.75,7926.95,0.08475,306.66666666666663,0.18181818181818182
3,bcls,product,319657,0.59922385,50TH PARALLEL ESTATE - RIESLING,,True,Canada - BC,3.5,[],,24.99,,,,Riesling,"Intense stone fruit flavours of peach and nectarine, with hints of red apple and wet stone minerality. Crisp acidity on the palate with a citrus burst of lemon and lime flavours.
",,['BC VQA'],,,319657,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/319657.jpeg,741,2024-07-27 15:10:01,,1,['00626990162339'],False,,0.75,"['BC VQA', 'All VQA']",50TH PARALLEL ESTATE - RIESLING,,Canada,False,,2,2,WHITE,RIESLING,False,30.0, RIESLING,0.11,,False,['BC VQA'],ST,,50TH PARALLEL ESTATE ,CA,,Canada - BC White Wine,White Wine,False,False,0,24.99,01,False,,,50th parallel estate - riesling,True,,16,Wine,[],True,1005,1028,1079,555.75,18517.59,0.0825,302.9090909090909,0.15151515151515152
4,bcls,product,444781,0.60605395,ABRUZZO - CITRA ORTENSE,Other Blend,,Italy Wine,3.4,[],,14.99,,,,,False,,['BCL Select'],,,444781,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/444781.jpeg,2112,2024-07-27 15:10:01,,1,"['08005493004728', '08005493002151']",False,,0.75,[],ABRUZZO - CITRA ORTENSE,,Italy,False,Other Italy Central,3,3,RED,OTHER BLEND,False,128.0, CITRA ORTENSE,0.125,,True,['BCL Select'],C,,ABRUZZO ,IT,,Italy Red Wine,Red Wine,False,False,0,14.99,00,False,,,abruzzo - citra ortense,,,33,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,1005,1043,1203,1584.0,31658.88,0.09375,159.89333333333335,0.6464646464646465
5,bcls,product,122867,0.60605395,ABRUZZO PECORINO - BARONE DI VALFORTE 2022,,,Italy Wine,3.5,[],True,21.99,,,2024-06-30T00:00:00.000-07:00,Other Blend,"This Pecorino wine is a classic expression of an ancient Italian variety. It's named after the Italian word for sheep — ""Pecora"" — that feed off these golden grapes. Aromas of wild honey, citrus and floral notes fill the nose, leading into a structured palate of light honeysuckle, pear and apricot.
",2024-06-30T00:00:00.000-07:00,"['BCL Select', 'On Sale']",2024-07-27T00:00:00.000-07:00,,122867,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/122867.jpeg,808,2024-07-27 15:10:01,,1,['08033413003063'],False,,0.75,[],ABRUZZO PECORINO - BARONE DI VALFORTE 2022,,Italy,False,Other Italy Central,2,2,WHITE,OTHER BLEND,False,45.0, BARONE DI VALFORTE 2022,0.13,,True,"['BCL Select', 'On Sale']",C,,ABRUZZO PECORINO ,IT,,Italy White Wine,White Wine,False,False,0,19.99,00,False,,,abruzzo pecorino - barone di valforte 2022,,2024-07-27T00:00:00.000-07:00,116,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,1005,1043,1206,606.0,17767.92,0.0975,225.53846153846152,0.22727272727272727
6,bcls,product,432123,0.60605395,ABRUZZO PINOT GRIGIO - MARE DI SIRENA,,,Italy Wine,3.9,[],True,14.99,,,2024-06-30T00:00:00.000-07:00,Pinot Gris / Pinot Grigio,"This classic Pinot Grigio shows flavours of citrus, white peach and a hint of pear. A crisp sea-spray mineral note leads to a clean, refreshing finish. It's the perfect wine to enjoy as an aperitif or paired with seafood, summer salads or shrimp risotto.
",2024-06-30T00:00:00.000-07:00,"['BCL Select', 'On Sale']",2024-07-27T00:00:00.000-07:00,,432123,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/432123.jpeg,2266,2024-07-27 15:10:01,,1,['00627987558494'],False,,0.75,[],ABRUZZO PINOT GRIGIO - MARE DI SIRENA,,Italy,False,Other Italy Central,2,2,WHITE,PINOT GRIS/PINOT GRIGIO,False,147.0, MARE DI SIRENA,0.125,,True,"['BCL Select', 'On Sale']",C,,ABRUZZO PINOT GRIGIO ,IT,,Italy White Wine,White Wine,False,False,0,12.99,00,False,,,abruzzo pinot grigio - mare di sirena,,2024-07-27T00:00:00.000-07:00,61,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,1005,1043,1206,1699.5,33967.340000000004,0.09375,159.89333333333335,0.7424242424242424
7,bcls,product,712331,0.60605395,ACQUESI  - ASTI,,,Italy Wine,3.6,[],,21.49,,,,Muscat / Moscato,"An aromatic and sweet white sparkling wine. Pale yellow in colour, the nose is fresh and intriguing, with hints of white flowers, peaches and citrus zest. It pairs well with pastries, pies or stuffed peaches. It makes for an excellent dessert wine.
",,['BCL Select'],,,712331,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/712331.jpeg,1650,2024-07-27 15:10:01,Other,1,['08056457510182'],False,,0.75,[],ACQUESI  - ASTI,,Italy,False,Piedmont,2,2,WHITE,MUSCAT/MOSCATO,False,128.0, ASTI,0.07,,True,['BCL Select'],C,,ACQUESI  ,IT,,Italy Sparkling Wine,Sparkling Wine,False,False,0,21.49,08,False,,,acquesi  - asti,,,334,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,1005,1043,1205,1237.5,35458.5,0.052500000000000005,409.33333333333326,0.6464646464646465
8,bcls,product,419721,0.59922385,ADEGA ON 45TH - MERLOT,Merlot,True,Canada - BC,3.7,[],,19.99,,,,,"This fruit forward wine has aromas of blackberry, plums and cocoa. Strawberry and soft toffee complement the vanilla and oak undertones. Great flavors of raspberry jam and anise are left on the palate with firm tannins. Very easy to drink, but still powerful enough to satisfy drinkers of big reds!
",,['BC VQA'],,,419721,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/419721.jpeg,1,2024-07-27 15:10:01,,1,"['00696852039109', '00626990192770', '00626990445661']",False,,0.75,"['BC VQA', 'All VQA']",ADEGA ON 45TH - MERLOT,,Canada,False,,2,2,RED,MERLOT,False,1.0, MERLOT,0.154,,False,['BC VQA'],SM,,ADEGA ON 45TH ,CA,,Canada - BC Red Wine,Red Wine,False,False,0,19.99,00,False,,,adega on 45th - merlot,True,,44,Wine,[],True,1005,1028,1077,0.75,19.99,0.11549999999999999,173.07359307359306,0.005050505050505051
9,bcls,product,783498,0.59922385,AGLIANICO DEL VULTURE - BASILISCO TEODOSIO 2020,Aglianico,,Italy Wine,4.2,[],,24.99,,,,,"An ample and broad bouquet that is infused with dark spice, dried blackberry and a slightly malolactic hint of milk chocolate. The finish is long and dusty, but there there is enough primary fruit to make this a very presentable red to drink. 
",,[],,,783498,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/783498.jpeg,1179,2024-07-27 15:10:01,,1,"['08027919192017', '08027919112015', '08027919132013', '08027919152011', '08027919182018', '08027919142012', '08027919122014', '08027919162010']",False,,0.75,[],AGLIANICO DEL VULTURE - BASILISCO TEODOSIO 2020,,Italy,False,Other Italy South,2,2,RED,AGLIANICO,False,91.0, BASILISCO TEODOSIO 2020,0.135,,False,[],SR,,AGLIANICO DEL VULTURE ,IT,,Italy Red Wine,Red Wine,False,False,0,24.99,00,False,,,aglianico del vulture - basilisco teodosio 2020,,,247,Wine,[],True,1005,1043,1203,884.25,29463.21,0.10125,246.81481481481478,0.4595959595959596
